,raw_f1_score,filtered_f1_score,raw_kappa,filtered_kappa
DOE2=T01_OneByOne=20161223_1_1.csv,0.6136226642555757,0.38095238095238093,0.13066307624015638,0.0672575847905098
DOE2=T01_OneByOne=20161223_1_2.csv,0.5542857142857143,0.33314285714285713,0.01840931971810722,-0.035597474709059274
DOE2=T01_OneByOne=20161223_6_1.csv,0.720233139050791,0.6253122398001665,0.1120714504179603,0.03594879085556091
DOE2=T01_OneByOne=20161223_6_2.csv,0.6109625668449198,0.4772727272727273,-0.0109547813378581,-0.02776137865114836
DOE2=T01_OneByOne=20161223_6_3.csv,0.8719211822660099,0.7331691297208539,0.4103452128253826,0.34864595365735673
DOE2=T01_OneByOne=20161226_1_1.csv,0.5918803418803419,0.3333333333333333,-0.04415475189234641,-0.14900849858356935
DOE2=T01_OneByOne=20161226_4_1.csv,0.8385758727964051,0.7016937435188386,0.15797015007232806,0.16470449685893362
DOE2=T01_OneByOne=20161226_4_2.csv,0.7274052478134111,0.48250728862973763,0.1067086333440107,-0.005948201082242255
DOE2=T01_OneByOne=20161227_2_1.csv,0.599195710455764,0.4101876675603217,0.08426048329487879,-0.009733108565381787
DOE2=T01_OneByOne=20161227_2_3.csv,0.8884955752212389,0.8619469026548673,-0.010217113665389466,-0.05153901216893342
DOE2=T01_OneByOne=20161227_5_1.csv,0.6832641770401107,0.44398340248962653,0.11833024474407305,0.0103073827011676
DOE2=T01_OneByOne=20180320_1_1.csv,0.6650943396226415,0.6509433962264151,0.08197121249085149,0.07467264362392345
DOE2=T01_OneByOne=20180320_1_2.csv,0.6649484536082474,0.5051546391752577,0.3202156334231807,0.17970401691331928
DOE2=T01_OneByOne=20180320_1_3.csv,0.12781954887218044,0.12280701754385964,0.006297770016889359,0.005129301132720698
DOE2=T01_OneByOne=20180320_2_1.csv,0.8434782608695653,0.8260869565217391,0.6538461538461539,0.6290322580645162
DOE2=T01_OneByOne=20180320_2_2.csv,0.7993311036789298,0.903010033444816,0.5950704225352113,0.7978834992191324
DOE2=T01_OneByOne=20180320_2_3.csv,1.0,1.0,1.0,1.0
DOE2=T01_OneByOne=20180331_1_1.csv,0.5382513661202186,0.4262295081967213,0.0,0.0
DOE2=T01_OneByOne=20180331_1_2.csv,0.4028223220012829,0.268120590121873,0.0,0.0
DOE2=T01_OneByOne=20180331_1_3.csv,0.8421052631578947,0.8421052631578947,0.0,0.0
DOE2=T01_OneByOne=20180331_1_4.csv,0.8060344827586207,0.8060344827586207,0.0,0.0
DOE2=T01_OneByOne=20180331_1_5.csv,0.7433628318584072,0.7699115044247787,0.33488938502131116,0.5379050015728217
DOE2=T01_OneByOne=20180331_1_6.csv,0.5910290237467019,0.6147757255936676,0.12248861005302869,0.3174877272615141
DOE2=T01_OneByOne=20180331_1_7.csv,0.9343903772553308,0.9343903772553308,0.0,0.0
DOE2=T01_OneByOne=sample1_1_1.csv,0.2036405005688282,0.04550625711035268,-0.2553095124429263,-0.27940939206103854
DOE2=T01_OneByOne=sample1_4_6.csv,0.50997150997151,0.3874643874643875,-0.02889280236323355,0.0323139065204846
DOE2=T01_OneByOne=sample1_8_4.csv,0.5619694397283531,0.3938879456706282,-0.013431322858590944,-0.19397993311036799
DOE2=T01_OneByOne=sample1_9_5.csv,0.3624161073825503,0.5973154362416108,0.0,0.0
DOE2=T02_OneByOne=20161223_1_1.csv,0.5669481302774427,0.4234016887816647,0.20057429737214627,0.12478962457096665
